State,Av_income
Alabama,"50,920"
Alaska,"68,664"
Arizona,"58,390"
Arkansas,"52,604"
California,"77,013"
Colorado,"75,708"
Connecticut,"83,340"
Delaware,"63,177"
District of Columbia,"96,092"
Florida,"64,804"
Georgia,"56,588"
Hawaii,"61,813"
Idaho,"56,615"
Illinois,"67,653"
Indiana,"58,329"
Iowa,"60,238"
Kansas,"60,433"
Kentucky,"51,929"
Louisiana,"54,527"
Maine,"60,425"
Maryland,"70,236"
Massachusetts,"84,551"
Michigan,"57,043"
Minnesota,"68,874"
Mississippi,"46,388"
Missouri,"57,825"
Montana,"60,984"
Nebraska,"64,263"
Nevada,"62,092"
New Hampshire,"73,711"
New Jersey,"77,206"
New Mexico,"52,190"
New York,"75,423"
North Carolina,"58,125"
North Dakota,"70,391"
Ohio,"57,759"
Oklahoma,"56,306"
Oregon,"62,314"
Pennsylvania,"64,506"
Rhode Island,"63,551"
South Carolina,"53,615"
South Dakota,"68,173"
Tennessee,"58,311"
Texas,"62,585"
Utah,"59,449"
Vermont,"63,035"
Virginia,"69,021"
Washington,"75,345"
West Virginia,"50,024"
Wisconsin,"61,496"
Wyoming,"73,216"
